step,agent_idx,junction_id,reward,episode_reward
11,5,J10,0.299985,9.230072810861168
11,6,J11,-1.5e-05,9.230072810861168
11,7,J12,-1.5e-05,9.230072810861168
11,8,J22,-1.5e-05,9.230072810861168
12,0,J0,-1.5e-05,10.584937810861168
12,1,J1,-1.5e-05,10.584937810861168
12,2,J5,-1.5e-05,10.584937810861168
12,3,J6,0.329985,10.584937810861168
12,4,J7,0.299985,10.584937810861168
12,5,J10,-1.5e-05,10.584937810861168
12,6,J11,0.224985,10.584937810861168
12,7,J12,0.199985,10.584937810861168
12,8,J22,0.299985,10.584937810861168
13,0,J0,-1.5e-05,10.614802810861168
13,1,J1,-1.5e-05,10.614802810861168
13,2,J5,-1.5e-05,10.614802810861168
13,3,J6,0.029984999999999998,10.614802810861168
13,4,J7,-1.5e-05,10.614802810861168
13,5,J10,-1.5e-05,10.614802810861168
13,6,J11,-1.5e-05,10.614802810861168
13,7,J12,-1.5e-05,10.614802810861168
13,8,J22,-1.5e-05,10.614802810861168
14,0,J0,-1.5e-05,11.094667810861168
14,1,J1,-1.5e-05,11.094667810861168
14,2,J5,0.149985,11.094667810861168
14,3,J6,0.029984999999999998,11.094667810861168
14,4,J7,-1.5e-05,11.094667810861168
14,5,J10,-1.5e-05,11.094667810861168
14,6,J11,-1.5e-05,11.094667810861168
14,7,J12,-1.5e-05,11.094667810861168
14,8,J22,0.299985,11.094667810861168
15,0,J0,-0.000715,12.019525621722337
15,1,J1,0.149985,12.019525621722337
15,2,J5,0.149985,12.019525621722337
15,3,J6,0.32567781086116926,12.019525621722337
15,4,J7,0.299985,12.019525621722337
15,5,J10,-1.5e-05,12.019525621722337
15,6,J11,-1.5e-05,12.019525621722337
15,7,J12,-1.5e-05,12.019525621722337
15,8,J22,-1.5e-05,12.019525621722337
16,0,J0,-0.000715,12.919383432583507
16,1,J1,-1.5e-05,12.919383432583507
16,2,J5,0.149985,12.919383432583507
16,3,J6,0.025677810861169256,12.919383432583507
16,4,J7,-1.5e-05,12.919383432583507
16,5,J10,-1.5e-05,12.919383432583507
16,6,J11,0.224985,12.919383432583507
16,7,J12,0.199985,12.919383432583507
16,8,J22,0.299985,12.919383432583507
17,0,J0,-0.000715,14.419241243444676
17,1,J1,-1.5e-05,14.419241243444676
17,2,J5,0.149985,14.419241243444676
17,3,J6,0.32567781086116926,14.419241243444676
17,4,J7,0.299985,14.419241243444676
17,5,J10,0.299985,14.419241243444676
17,6,J11,0.224985,14.419241243444676
17,7,J12,0.199985,14.419241243444676
17,8,J22,-1.5e-05,14.419241243444676
18,0,J0,-0.000715,14.644099054305844
18,1,J1,-1.5e-05,14.644099054305844
18,2,J5,-1.5e-05,14.644099054305844
18,3,J6,0.22567781086116923,14.644099054305844
18,4,J7,-1.5e-05,14.644099054305844
18,5,J10,-1.5e-05,14.644099054305844
18,6,J11,-1.5e-05,14.644099054305844
18,7,J12,-1.5e-05,14.644099054305844
18,8,J22,-1.5e-05,14.644099054305844
19,0,J0,-0.000715,15.168956865167013
19,1,J1,-1.5e-05,15.168956865167013
19,2,J5,-1.5e-05,15.168956865167013
19,3,J6,0.025677810861169256,15.168956865167013
19,4,J7,0.299985,15.168956865167013
19,5,J10,-1.5e-05,15.168956865167013
19,6,J11,-1.5e-05,15.168956865167013
19,7,J12,0.199985,15.168956865167013
19,8,J22,-1.5e-05,15.168956865167013
20,0,J0,-0.000715,15.393814676028182
20,1,J1,-1.5e-05,15.393814676028182
20,2,J5,-1.5e-05,15.393814676028182
20,3,J6,0.22567781086116923,15.393814676028182
20,4,J7,-1.5e-05,15.393814676028182
20,5,J10,-1.5e-05,15.393814676028182
20,6,J11,-1.5e-05,15.393814676028182
20,7,J12,-1.5e-05,15.393814676028182
20,8,J22,-1.5e-05,15.393814676028182
21,0,J0,-0.000715,16.01867248688935
21,1,J1,-1.5e-05,16.01867248688935
21,2,J5,-1.5e-05,16.01867248688935
21,3,J6,0.32567781086116926,16.01867248688935
21,4,J7,-1.5e-05,16.01867248688935
21,5,J10,-1.5e-05,16.01867248688935
21,6,J11,-1.5e-05,16.01867248688935
21,7,J12,0.299985,16.01867248688935
21,8,J22,-1.5e-05,16.01867248688935
22,0,J0,-0.000715,17.24353029775052
22,1,J1,-1.5e-05,17.24353029775052
22,2,J5,-1.5e-05,17.24353029775052
22,3,J6,0.32567781086116926,17.24353029775052
22,4,J7,0.299985,17.24353029775052
22,5,J10,-1.5e-05,17.24353029775052
22,6,J11,-1.5e-05,17.24353029775052
22,7,J12,0.299985,17.24353029775052
22,8,J22,0.299985,17.24353029775052
23,0,J0,-0.000715,18.09338810861169
23,1,J1,-1.5e-05,18.09338810861169
23,2,J5,-1.5e-05,18.09338810861169
23,3,J6,0.32567781086116926,18.09338810861169
23,4,J7,-1.5e-05,18.09338810861169
23,5,J10,0.224985,18.09338810861169
23,6,J11,-1.5e-05,18.09338810861169
23,7,J12,0.299985,18.09338810861169
23,8,J22,-1.5e-05,18.09338810861169
24,0,J0,-0.000715,19.243245919472862
24,1,J1,-1.5e-05,19.243245919472862
24,2,J5,-1.5e-05,19.243245919472862
24,3,J6,0.32567781086116926,19.243245919472862
24,4,J7,-1.5e-05,19.243245919472862
24,5,J10,0.224985,19.243245919472862
24,6,J11,-1.5e-05,19.243245919472862
24,7,J12,0.299985,19.243245919472862
24,8,J22,0.299985,19.243245919472862
25,0,J0,-0.000715,20.543103730334032
25,1,J1,0.149985,20.543103730334032
25,2,J5,-1.5e-05,20.543103730334032
25,3,J6,0.32567781086116926,20.543103730334032
25,4,J7,-1.5e-05,20.543103730334032
25,5,J10,0.224985,20.543103730334032
25,6,J11,-1.5e-05,20.543103730334032
25,7,J12,0.299985,20.543103730334032
25,8,J22,0.299985,20.543103730334032
26,0,J0,-0.000715,21.017961541195202
26,1,J1,-1.5e-05,21.017961541195202
26,2,J5,-1.5e-05,21.017961541195202
26,3,J6,0.025677810861169256,21.017961541195202
26,4,J7,-1.5e-05,21.017961541195202
26,5,J10,0.149985,21.017961541195202
26,6,J11,-1.5e-05,21.017961541195202
26,7,J12,0.299985,21.017961541195202
26,8,J22,-1.5e-05,21.017961541195202
27,0,J0,-0.000715,21.54281935205637
27,1,J1,-1.5e-05,21.54281935205637
27,2,J5,-1.5e-05,21.54281935205637
27,3,J6,0.32567781086116926,21.54281935205637
27,4,J7,-1.5e-05,21.54281935205637
