step,fixed_waiting,fixed_queue,fixed_throughput,fixed_vehicles,mappo_waiting,mappo_queue,mappo_throughput,mappo_vehicles
120,322.00,0.10,9,9,19.00,0.04,12,6
121,332.00,0.09,9,9,22.00,0.03,12,6
122,342.00,0.09,9,9,25.00,0.03,12,6
123,352.00,0.09,9,9,28.00,0.03,12,6
124,362.00,0.09,9,9,31.00,0.03,12,6
125,374.00,0.11,9,9,34.00,0.03,12,6
126,386.00,0.11,9,9,37.00,0.03,12,6
127,398.00,0.11,9,9,40.00,0.03,12,6
128,180.00,0.09,10,8,43.00,0.03,12,6
129,190.00,0.09,10,8,48.00,0.04,12,6
130,200.00,0.09,10,8,53.00,0.04,12,6
131,210.00,0.09,10,8,58.00,0.04,12,6
132,220.00,0.09,10,8,63.00,0.04,12,6
133,230.00,0.09,10,8,68.00,0.04,12,6
134,240.00,0.09,10,8,73.00,0.04,12,6
135,250.00,0.09,10,8,78.00,0.04,12,6
136,260.00,0.09,10,8,85.00,0.06,12,6
137,270.00,0.09,10,8,92.00,0.06,12,6
138,282.00,0.11,10,8,101.00,0.08,12,6
139,294.00,0.11,10,8,110.00,0.08,12,6
140,306.00,0.11,10,8,119.00,0.08,13,5
141,318.00,0.11,10,8,128.00,0.08,13,5
142,330.00,0.11,10,8,137.00,0.08,13,5
143,342.00,0.11,10,8,146.00,0.08,13,5
144,354.00,0.12,10,10,155.00,0.09,13,7
145,366.00,0.11,10,10,164.00,0.08,13,7
146,378.00,0.11,10,10,173.00,0.08,13,7
147,392.00,0.12,10,10,182.00,0.08,13,7
148,406.00,0.12,10,10,191.00,0.08,13,7
149,420.00,0.12,10,10,200.00,0.08,13,7
150,434.00,0.12,10,10,138.00,0.05,13,7
151,448.00,0.12,10,10,144.00,0.05,13,7
152,86.00,0.04,10,10,150.00,0.05,13,7
153,32.00,0.02,10,10,156.00,0.05,13,7
154,34.00,0.02,10,10,162.00,0.05,13,7
155,36.00,0.02,10,10,40.00,0.02,13,7
156,38.00,0.02,10,10,0.00,0.00,13,7
157,40.00,0.02,10,10,0.00,0.00,13,7
158,42.00,0.02,10,10,0.00,0.00,13,7
159,44.00,0.02,10,10,0.00,0.00,13,7
160,50.00,0.05,10,10,0.00,0.00,13,7
161,56.00,0.05,10,10,0.00,0.00,13,7
162,62.00,0.05,10,10,0.00,0.00,13,7
163,72.00,0.09,10,10,0.00,0.00,13,7
164,84.00,0.11,11,9,0.00,0.00,13,7
165,98.00,0.12,11,9,0.00,0.00,13,7
166,112.00,0.12,11,9,0.00,0.00,13,7
167,126.00,0.12,11,9,2.00,0.02,13,7
168,140.00,0.12,11,9,4.00,0.02,14,6
169,154.00,0.12,11,9,6.00,0.02,14,6
170,168.00,0.12,11,9,8.00,0.02,14,6
171,182.00,0.12,11,9,10.00,0.02,14,6
172,196.00,0.12,11,9,14.00,0.04,15,5
173,210.00,0.12,11,9,14.00,0.02,15,5
174,225.00,0.13,12,8,18.00,0.04,15,5
175,240.00,0.13,12,8,22.00,0.04,15,5
176,255.00,0.13,12,8,26.00,0.04,15,5
177,270.00,0.13,12,8,30.00,0.04,15,5
178,285.00,0.13,12,8,34.00,0.04,15,5
179,300.00,0.13,12,8,12.00,0.02,15,5
180,315.00,0.16,12,10,14.00,0.04,15,7
181,330.00,0.13,12,10,16.00,0.02,15,7
182,345.00,0.13,12,10,20.00,0.04,15,7
183,360.00,0.15,12,11,24.00,0.05,15,8
184,375.00,0.13,12,11,28.00,0.04,15,8
185,282.00,0.11,12,11,32.00,0.04,15,8
186,246.00,0.09,12,11,10.00,0.02,15,8
187,256.00,0.09,12,11,12.00,0.02,16,7
188,266.00,0.09,12,11,14.00,0.02,16,7
189,276.00,0.09,12,11,16.00,0.02,16,7
190,286.00,0.09,12,11,18.00,0.02,16,7
191,296.00,0.09,12,11,20.00,0.02,16,7
192,306.00,0.09,12,11,22.00,0.02,16,7
193,316.00,0.09,12,11,26.00,0.04,16,7
194,326.00,0.09,12,11,30.00,0.04,16,7
195,340.00,0.12,12,11,34.00,0.04,16,7
196,354.00,0.12,12,11,10.00,0.04,16,7
197,368.00,0.12,12,11,14.00,0.04,16,7
198,385.00,0.15,12,11,20.00,0.05,16,7
199,402.00,0.15,12,11,0.00,0.00,16,7
200,419.00,0.15,12,11,0.00,0.00,17,6
201,438.00,0.17,12,11,0.00,0.00,17,6
202,457.00,0.17,12,11,0.00,0.00,17,6
203,476.00,0.17,12,11,0.00,0.00,17,6
204,495.00,0.17,13,10,0.00,0.00,17,6
205,514.00,0.17,13,10,0.00,0.00,17,6
206,533.00,0.18,13,11,2.00,0.03,17,7
207,552.00,0.17,13,11,4.00,0.02,17,7
208,571.00,0.17,13,11,6.00,0.02,17,7
209,590.00,0.17,13,11,10.00,0.04,17,7
210,609.00,0.17,13,11,16.00,0.05,17,7
211,628.00,0.17,13,11,22.00,0.05,18,6
212,142.00,0.04,13,11,28.00,0.05,19,5
213,108.00,0.02,13,11,34.00,0.05,19,5
214,110.00,0.02,13,11,40.00,0.05,19,5
215,112.00,0.02,13,11,46.00,0.05,19,5
216,114.00,0.02,13,11,0.00,0.00,19,5
217,116.00,0.02,13,11,0.00,0.00,19,5
218,118.00,0.02,13,11,0.00,0.00,19,5
219,120.00,0.02,13,11,0.00,0.00,20,4
220,122.00,0.02,13,11,0.00,0.00,20,4
221,124.00,0.02,13,11,0.00,0.00,20,4
222,128.00,0.04,13,11,2.00,0.02,20,4
223,134.00,0.05,13,11,4.00,0.02,20,4
224,140.00,0.05,13,11,6.00,0.02,20,4
225,148.00,0.07,14,10,8.00,0.02,20,4
226,160.00,0.11,14,10,10.00,0.02,20,4
227,172.00,0.11,14,10,12.00,0.02,20,4
228,184.00,0.11,15,9,14.00,0.02,20,4
229,192.00,0.10,15,9,16.00,0.02,20,4
230,203.00,0.10,15,9,18.00,0.02,20,4
231,214.00,0.10,15,9,20.00,0.02,20,4
232,225.00,0.10,15,9,22.00,0.02,20,4
233,238.00,0.12,15,9,24.00,0.02,20,4
234,251.00,0.12,15,9,26.00,0.02,20,4
235,264.00,0.12,15,9,32.00,0.05,20,4
236,279.00,0.13,15,9,34.00,0.04,20,4
237,296.00,0.15,15,9,38.00,0.04,20,4
238,313.00,0.15,15,9,42.00,0.04,20,4
239,330.00,0.15,15,9,46.00,0.04,20,4
240,347.00,0.22,15,15,50.00,0.11,20,10
241,364.00,0.15,15,15,54.00,0.04,20,10
242,381.00,0.15,15,15,58.00,0.04,21,9
243,398.00,0.15,15,15,62.00,0.04,21,9
244,415.00,0.15,15,15,66.00,0.04,21,9
245,432.00,0.15,15,15,0.00,0.00,21,9
246,449.00,0.15,15,15,0.00,0.00,21,9
247,466.00,0.15,15,15,0.00,0.00,21,9
248,483.00,0.15,15,15,0.00,0.00,21,9
249,500.00,0.15,15,15,0.00,0.00,21,9
250,517.00,0.15,15,15,0.00,0.00,21,9
251,534.00,0.15,15,15,0.00,0.00,21,9
252,555.00,0.19,15,15,0.00,0.00,21,9
253,576.00,0.19,15,15,2.00,0.02,21,9
254,599.00,0.20,15,15,4.00,0.02,21,9
255,622.00,0.20,15,15,6.00,0.02,22,8
256,645.00,0.20,15,15,10.00,0.04,22,8
257,668.00,0.20,15,15,6.00,0.04,23,7
258,691.00,0.20,15,15,6.00,0.04,23,7
259,714.00,0.20,15,15,6.00,0.02,23,7
260,737.00,0.20,15,15,0.00,0.00,23,7
261,760.00,0.20,15,15,2.00,0.02,23,7
262,783.00,0.20,15,15,4.00,0.02,23,7
263,806.00,0.20,15,15,6.00,0.04,23,7
264,829.00,0.20,15,15,10.00,0.04,23,7
265,854.00,0.22,15,15,14.00,0.04,23,7
266,879.00,0.22,15,15,12.00,0.02,23,7
267,904.00,0.22,15,15,14.00,0.02,23,7
268,929.00,0.22,15,15,16.00,0.02,23,7
269,954.00,0.22,15,15,20.00,0.04,23,7
270,979.00,0.23,15,16,20.00,0.03,23,8
271,1004.00,0.22,15,16,22.00,0.02,23,8
272,508.00,0.09,15,16,24.00,0.02,23,8
273,422.00,0.07,15,16,26.00,0.02,23,8
274,430.00,0.07,15,16,30.00,0.04,23,8
275,438.00,0.07,15,16,34.00,0.04,23,8
276,446.00,0.07,15,16,38.00,0.04,23,8
277,456.00,0.09,15,16,42.00,0.04,23,8
278,466.00,0.09,15,16,47.00,0.04,23,8
279,476.00,0.09,15,16,52.00,0.04,23,8
280,486.00,0.09,15,16,59.00,0.06,23,8
281,496.00,0.09,15,16,66.00,0.06,24,7
282,416.00,0.11,15,16,73.00,0.06,24,7
283,428.00,0.11,15,16,80.00,0.06,24,7
284,444.00,0.14,16,15,87.00,0.06,24,7
285,460.00,0.14,16,15,94.00,0.06,24,7
286,480.00,0.18,17,14,101.00,0.06,24,7
287,500.00,0.18,17,14,108.00,0.06,24,7
288,520.00,0.19,17,16,48.00,0.04,24,9
289,540.00,0.18,17,16,52.00,0.04,24,9
290,560.00,0.18,17,16,56.00,0.04,24,9
291,581.00,0.19,17,16,60.00,0.04,24,9
292,602.00,0.19,17,16,64.00,0.04,24,9
293,623.00,0.19,17,16,70.00,0.05,24,9
294,644.00,0.19,17,16,76.00,0.05,24,9
295,665.00,0.19,17,16,82.00,0.05,25,8
296,686.00,0.19,17,16,88.00,0.05,25,8
297,707.00,0.19,18,15,96.00,0.07,25,8
298,728.00,0.19,19,14,104.00,0.07,25,8
299,740.00,0.18,19,14,112.00,0.07,25,8
300,762.00,0.19,19,14,120.00,0.07,25,8
301,784.00,0.19,19,14,128.00,0.07,25,8
302,806.00,0.19,19,14,136.00,0.07,25,8
303,828.00,0.19,19,14,144.00,0.07,25,8
304,852.00,0.21,19,14,154.00,0.09,25,8
305,876.00,0.21,19,14,164.00,0.09,25,8
306,900.00,0.21,19,14,154.00,0.07,26,7
307,926.00,0.23,19,14,162.00,0.07,26,7
308,952.00,0.23,19,14,170.00,0.07,26,7
309,978.00,0.24,19,15,178.00,0.08,26,8
310,1004.00,0.23,19,15,186.00,0.07,26,8
311,1030.00,0.23,19,15,194.00,0.07,26,8
312,1056.00,0.23,19,15,202.00,0.07,26,8
313,1082.00,0.23,19,15,210.00,0.07,26,8
314,1108.00,0.23,19,15,218.00,0.07,26,8
315,1134.00,0.23,19,15,24.00,0.02,26,8
316,1160.00,0.23,19,15,26.00,0.02,26,8
317,1186.00,0.23,20,14,28.00,0.02,26,8
318,1212.00,0.23,20,14,30.00,0.02,26,8
319,1238.00,0.23,20,14,32.00,0.02,26,8
320,1264.00,0.23,20,14,34.00,0.02,26,8
321,1290.00,0.23,20,14,36.00,0.02,26,8
322,1316.00,0.23,20,14,38.00,0.02,26,8
323,1342.00,0.23,20,14,42.00,0.04,26,8
324,1368.00,0.23,20,14,46.00,0.04,26,8
325,1396.00,0.25,20,14,52.00,0.05,27,7
326,1424.00,0.25,20,14,60.00,0.07,28,6
327,1452.00,0.25,20,14,68.00,0.07,28,6
328,1480.00,0.25,20,14,76.00,0.07,28,6
329,1508.00,0.25,20,14,84.00,0.07,28,6
330,1536.00,0.25,20,14,92.00,0.07,28,6
331,1564.00,0.25,20,14,100.00,0.07,29,5
332,382.00,0.09,20,14,108.00,0.07,29,5
333,236.00,0.05,20,14,117.00,0.08,29,5
334,222.00,0.04,20,14,126.00,0.08,29,5
335,226.00,0.04,20,14,48.00,0.04,29,5
336,230.00,0.04,20,14,28.00,0.02,29,5
337,234.00,0.04,20,14,30.00,0.02,29,5
338,238.00,0.04,20,14,32.00,0.02,29,5
339,242.00,0.04,20,14,36.00,0.04,29,5
340,246.00,0.04,20,14,40.00,0.04,29,5
341,252.00,0.05,20,14,38.00,0.02,29,5
342,258.00,0.05,20,14,40.00,0.02,29,5
343,266.00,0.07,22,12,42.00,0.02,29,5
344,274.00,0.07,24,10,44.00,0.02,29,5
345,282.00,0.07,25,9,46.00,0.02,29,5
346,292.00,0.09,25,9,48.00,0.02,29,5
347,304.00,0.11,25,9,50.00,0.02,29,5
348,318.00,0.12,25,9,0.00,0.00,31,3
349,328.00,0.12,25,9,0.00,0.00,31,3
350,341.00,0.12,25,9,0.00,0.00,31,3
351,354.00,0.12,25,9,0.00,0.00,31,3
352,367.00,0.12,25,9,0.00,0.00,31,3
353,380.00,0.12,25,9,0.00,0.00,31,3
354,393.00,0.12,25,9,2.00,0.02,31,3
355,406.00,0.12,26,8,4.00,0.02,31,3
356,419.00,0.12,26,8,6.00,0.02,31,3
357,432.00,0.12,26,8,8.00,0.02,31,3
358,445.00,0.12,26,8,10.00,0.02,31,3
359,458.00,0.12,26,8,12.00,0.02,31,3
360,471.00,0.14,27,10,14.00,0.04,31,6
361,484.00,0.12,27,10,16.00,0.02,31,6
362,497.00,0.12,27,10,18.00,0.02,31,6
363,510.00,0.14,27,12,20.00,0.04,31,8
364,523.00,0.12,27,12,22.00,0.02,31,8
365,536.00,0.12,27,12,24.00,0.02,31,8
366,549.00,0.12,27,12,26.00,0.02,32,7
367,562.00,0.12,27,12,28.00,0.02,32,7
368,575.00,0.12,27,12,30.00,0.02,32,7
369,588.00,0.12,27,12,32.00,0.02,32,7
370,601.00,0.12,27,12,34.00,0.02,32,7
371,614.00,0.12,27,12,37.00,0.03,32,7
372,627.00,0.12,27,12,40.00,0.03,32,7
373,640.00,0.12,27,12,43.00,0.03,32,7
374,653.00,0.12,27,12,48.00,0.04,32,7
375,666.00,0.12,27,12,53.00,0.04,32,7
376,679.00,0.12,27,12,60.00,0.06,32,7
377,692.00,0.12,27,12,55.00,0.03,32,7
378,709.00,0.15,27,12,58.00,0.03,32,7
379,726.00,0.15,27,12,63.00,0.04,32,7
380,743.00,0.15,27,12,68.00,0.04,32,7
381,762.00,0.17,27,12,73.00,0.04,32,7
382,781.00,0.17,27,12,78.00,0.04,32,7
383,800.00,0.17,27,12,83.00,0.04,32,7
384,819.00,0.17,27,12,26.00,0.03,32,7
385,840.00,0.19,27,12,29.00,0.03,32,7
386,861.00,0.19,27,12,32.00,0.03,32,7
387,882.00,0.19,27,12,41.00,0.08,32,7
388,903.00,0.19,27,12,52.00,0.10,32,7
389,926.00,0.20,27,12,63.00,0.10,32,7
390,949.00,0.20,27,12,74.00,0.10,32,7
391,972.00,0.20,27,12,85.00,0.10,32,7
392,500.00,0.07,27,12,96.00,0.10,32,7
393,490.00,0.05,27,12,107.00,0.10,32,7
394,496.00,0.05,27,12,118.00,0.10,32,7
395,502.00,0.05,27,12,129.00,0.10,33,6
396,508.00,0.05,27,12,140.00,0.10,33,6
397,514.00,0.05,27,12,65.00,0.03,33,6
398,226.00,0.04,27,12,68.00,0.03,33,6
399,230.00,0.04,27,12,71.00,0.03,33,6
400,234.00,0.04,27,12,74.00,0.03,33,6
401,240.00,0.05,27,12,77.00,0.03,33,6
402,246.00,0.05,27,12,80.00,0.03,33,6
403,252.00,0.05,28,11,83.00,0.03,33,6
404,258.00,0.05,29,10,0.00,0.00,33,6
405,264.00,0.05,29,10,0.00,0.00,33,6
406,270.00,0.05,29,10,0.00,0.00,33,6
407,278.00,0.07,29,10,0.00,0.00,33,6
408,286.00,0.07,29,10,0.00,0.00,33,6
409,294.00,0.07,29,10,0.00,0.00,33,6
410,302.00,0.07,29,10,0.00,0.00,33,6
411,312.00,0.09,30,9,0.00,0.00,33,6
412,324.00,0.12,30,10,0.00,0.01,34,6
413,336.00,0.11,30,10,0.00,0.00,34,6
414,348.00,0.11,31,9,0.00,0.00,34,6
415,361.00,0.12,31,9,2.00,0.02,34,6
416,375.00,0.12,31,9,4.00,0.02,34,6
417,389.00,0.12,31,9,6.00,0.02,34,6
418,403.00,0.12,31,9,8.00,0.02,34,6
419,417.00,0.12,31,9,10.00,0.02,35,5
420,431.00,0.12,31,9,12.00,0.02,35,5
421,445.00,0.12,31,9,16.00,0.04,35,5
422,459.00,0.12,31,9,20.00,0.04,35,5
423,473.00,0.12,31,9,24.00,0.04,35,5
424,487.00,0.12,31,9,28.00,0.04,35,5
425,252.00,0.10,31,9,10.00,0.02,35,5
426,167.00,0.10,31,9,12.00,0.02,36,4
427,178.00,0.10,31,9,14.00,0.02,36,4
428,189.00,0.10,31,9,16.00,0.02,36,4
429,200.00,0.10,31,9,0.00,0.00,36,4
430,211.00,0.10,31,9,0.00,0.00,36,4
431,222.00,0.10,31,9,0.00,0.00,36,4
432,233.00,0.11,31,11,0.00,0.01,36,6
433,244.00,0.10,31,11,0.00,0.00,36,6
434,255.00,0.10,31,11,0.00,0.00,36,6
435,266.00,0.10,31,11,0.00,0.00,36,6
436,277.00,0.10,31,11,0.00,0.00,36,6
437,288.00,0.10,31,11,0.00,0.00,36,6
438,301.00,0.12,31,11,0.00,0.00,36,6
439,314.00,0.12,31,11,3.00,0.03,37,5
440,327.00,0.12,31,11,6.00,0.03,37,5
441,341.00,0.12,31,11,9.00,0.03,38,4
442,355.00,0.12,31,11,8.00,0.02,38,4
443,369.00,0.12,31,11,10.00,0.02,38,4
444,383.00,0.12,31,11,12.00,0.02,38,4
445,397.00,0.12,31,11,14.00,0.02,38,4
446,413.00,0.14,31,11,16.00,0.02,38,4
447,429.00,0.14,32,10,18.00,0.02,38,4
448,445.00,0.14,32,10,20.00,0.02,38,4
449,461.00,0.14,32,10,22.00,0.02,38,4
450,477.00,0.15,32,11,24.00,0.03,38,5
451,493.00,0.14,32,11,26.00,0.02,38,5
452,14.00,0.02,32,11,28.00,0.02,38,5
453,0.00,0.00,32,11,30.00,0.02,38,5
454,0.00,0.00,32,11,32.00,0.02,38,5
455,0.00,0.00,32,11,34.00,0.02,38,5
456,0.00,0.00,32,11,36.00,0.02,38,5
457,0.00,0.00,32,11,38.00,0.02,38,5
458,0.00,0.00,32,11,40.00,0.02,38,5
459,0.00,0.00,32,11,42.00,0.02,38,5
460,2.00,0.02,32,11,44.00,0.02,38,5
461,4.00,0.02,32,11,46.00,0.02,38,5
462,6.00,0.02,32,11,48.00,0.02,38,5
463,10.00,0.04,33,10,50.00,0.02,38,5
464,14.00,0.04,33,10,52.00,0.02,38,5
465,18.00,0.04,34,9,54.00,0.02,38,5
466,22.00,0.04,35,8,56.00,0.02,39,4
467,26.00,0.04,35,8,58.00,0.02,40,3
468,30.00,0.04,35,8,60.00,0.02,40,3
469,34.00,0.04,35,8,62.00,0.02,40,3
470,38.00,0.04,35,8,64.00,0.02,40,3
471,44.00,0.05,35,8,66.00,0.02,40,3
472,50.00,0.05,35,8,68.00,0.02,40,3
473,56.00,0.05,35,8,70.00,0.02,40,3
474,62.00,0.05,35,8,72.00,0.02,40,3
